"...1","SL No","Industry code","KLEMS Industry Description","year","II_M_r","EMP","VA_r","K_r","LP","GO_r","LSH_go","EMP_g"
35,10,"26","Other Non-Metallic Mineral Products",2014,108849.603656815,4544.64058595077,101370.502394709,419017.253519227,223.055047979116,317342,0.101934266724663,-3.09729494365059
36,10,"26","Other Non-Metallic Mineral Products",2015,112424.788710336,4414.07020480438,109784.743021632,433318.537695714,248.715443859817,323482,0.101074124460606,-2.91514327652971
37,10,"26","Other Non-Metallic Mineral Products",2016,123992.217940565,4294.97359001233,133839.537826292,443953.361560594,311.619000725702,371835.504,0.0960112820444062,-2.73518063287972
38,10,"26","Other Non-Metallic Mineral Products",2017,123257.491761506,4186.52149594286,132758.235175641,461652.094302929,317.108691079926,391867.81617,0.0939569784957309,-2.55752091748818
39,10,"26","Other Non-Metallic Mineral Products",2018,142604.758029715,4115.54908752643,142594.325657994,482640.186179679,346.477037754632,457392.8417,0.0853194181523866,-1.70979363996497
40,10,"26","Other Non-Metallic Mineral Products",2019,157746.437109783,4166.36913375055,151314.312858465,494106.381432078,363.180284801727,467385.599674,0.085074457799518,1.2272684355435
41,10,"26","Other Non-Metallic Mineral Products",2020,153390.986687927,4148.34768075375,148067.776324862,500159.920119792,356.931934639477,456099.327257,0.0852424937987327,-0.433483944641111
42,10,"26","Other Non-Metallic Mineral Products",2021,177870.500807721,4416.98994111628,168933.543930543,510238.774576899,382.463048778982,548572.13156,0.0804069860969176,6.27483495563616
77,11,"27t28","Basic Metals and Fabricated Metal Products",2014,595318.525888451,4727.10615584774,260754.105734528,1131149.19910152,551.614660508434,1240779.99778331,0.0611901285615736,1.39907347008841
78,11,"27t28","Basic Metals and Fabricated Metal Products",2015,662276.56165498,4804.92259855835,224819.730792497,1174682.48146667,467.894593889922,1306821.39353755,0.0686207392795409,1.63277248726111
79,11,"27t28","Basic Metals and Fabricated Metal Products",2016,638291.674187102,4892.60255656444,284418.25086605,1167432.86038448,581.323023028805,1332083.68765798,0.0722541053404403,1.80834482923161
80,11,"27t28","Basic Metals and Fabricated Metal Products",2017,718995.208484599,4988.57534000773,318942.490088071,1152840.86324138,639.345841948488,1493598.39622792,0.0634134640120274,1.9425983931029
81,11,"27t28","Basic Metals and Fabricated Metal Products",2018,853747.214012885,5268.41095979534,325495.087366623,1145144.86440671,617.824026733229,1695779.60937355,0.0579862303787565,5.45784254345149
82,11,"27t28","Basic Metals and Fabricated Metal Products",2019,908891.951121393,5233.7908141186,328574.255128967,1194498.54383429,627.794015463151,1749766.57318404,0.061792473644622,-0.65929548536422
83,11,"27t28","Basic Metals and Fabricated Metal Products",2020,853460.491776039,5704.67578881667,375853.196275496,1223492.06895676,658.851107739218,1684647.31502458,0.0607976685235263,8.61503158183945
84,11,"27t28","Basic Metals and Fabricated Metal Products",2021,1060137.79555492,6439.69728835681,420168.645092385,1260473.05664303,652.466453434176,1999679.93823088,0.0489637175203355,12.1195381703469
119,12,"29","Machinery, nec.",2014,200791.47557177,2325.29715302931,116268.359220704,311759.531588296,500.015058588248,380401.760125819,0.11714994414253,7.26218930158074
120,12,"29","Machinery, nec.",2015,215258.989570048,2504.61040897612,124934.674178939,328275.237812781,498.818793258995,397255.908090553,0.12428524012689,7.42853584555227
121,12,"29","Machinery, nec.",2016,245338.140341302,2703.2038547825,151051.751387869,350445.875960707,558.787866185631,462358.809767725,0.117392245488857,7.63044853413954
122,12,"29","Machinery, nec.",2017,250490.32235089,2924.76144119718,174656.169912859,387684.947164654,597.163814637023,501642.045886733,0.115815115816222,7.87752363686077
